Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
SRR8438042 - illumina_universal_adapter	(1, 3.7037037037037037)	(2, 3.7037037037037037)	(3, 3.7037037037037037)	(4, 3.7037037037037037)	(5, 3.7037037037037037)	(6, 3.7037037037037037)	(7, 3.7037037037037037)	(8, 3.7037037037037037)	(9, 3.7037037037037037)	(10, 3.7037037037037037)	(15, 3.7037037037037037)	(20, 3.7037037037037037)	(25, 3.7037037037037037)	(30, 3.7037037037037037)	(35, 3.7037037037037037)	(40, 3.7037037037037037)	(45, 3.7037037037037037)	(50, 3.7037037037037037)	(55, 3.7037037037037037)	(60, 3.7037037037037037)	(65, 3.7037037037037037)	(70, 7.407407407407407)	(75, 7.407407407407407)	(80, 7.407407407407407)	(85, 8.148148148148149)	(90, 11.11111111111111)	(95, 11.11111111111111)	(100, 11.11111111111111)	(105, 11.11111111111111)	(110, 12.592592592592592)	(115, 14.814814814814815)	(120, 17.037037037037038)	(125, 21.481481481481485)	(130, 27.40740740740741)	(135, 31.851851851851855)	(140, 33.333333333333336)	(145, 34.074074074074076)	(150, 40.74074074074074)	(155, 41.48148148148148)	(160, 49.629629629629626)	(165, 54.074074074074076)	(170, 59.25925925925926)	(175, 65.18518518518519)	(180, 72.5925925925926)	(185, 80.0)	(190, 85.18518518518519)	(195, 85.18518518518519)	(200, 85.18518518518519)	(205, 85.18518518518519)	(210, 85.18518518518519)	(215, 85.18518518518519)	(220, 85.18518518518519)	(225, 85.18518518518519)	(230, 85.18518518518519)	(235, 85.18518518518519)	(240, 85.18518518518519)
SRR8438042 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 2.962962962962963)	(135, 3.7037037037037037)	(140, 3.7037037037037037)	(145, 3.7037037037037037)	(150, 3.7037037037037037)	(155, 3.7037037037037037)	(160, 3.7037037037037037)	(165, 3.7037037037037037)	(170, 3.7037037037037037)	(175, 3.7037037037037037)	(180, 3.7037037037037037)	(185, 3.7037037037037037)	(190, 3.7037037037037037)	(195, 3.7037037037037037)	(200, 3.7037037037037037)	(205, 3.7037037037037037)	(210, 3.7037037037037037)	(215, 3.7037037037037037)	(220, 7.407407407407407)	(225, 12.592592592592592)	(230, 14.814814814814815)	(235, 15.555555555555554)	(240, 18.51851851851852)
SRR8438042_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006160385640141073)	(30, 0.0015400964100352682)	(35, 0.0015400964100352682)	(40, 0.0015400964100352682)	(45, 0.0015400964100352682)	(50, 0.002464154256056429)	(55, 0.0030801928200705365)	(60, 0.0030801928200705365)	(65, 0.040658545224931085)	(70, 0.1786511835640911)	(75, 0.30463106990497607)	(80, 0.37886371686867604)	(85, 0.3865641989188523)	(90, 0.39395666168702154)	(95, 1.1449076712202184)	(100, 1.3331074525265283)	(105, 1.3503565323189233)	(110, 1.3679136313933253)	(115, 1.3706858049313888)	(120, 1.372225901341424)	(125, 1.372225901341424)	(130, 1.372225901341424)	(135, 1.372225901341424)	(140, 1.3728419399054381)	(145, 1.3845466726217062)	(150, 1.3845466726217062)	(155, 1.3845466726217062)	(160, 1.3968674439019884)	(165, 1.3968674439019884)	(170, 1.3968674439019884)	(175, 1.3968674439019884)	(180, 1.3968674439019884)	(185, 1.3968674439019884)	(190, 1.401487733132094)	(195, 1.401487733132094)	(200, 1.401487733132094)	(205, 1.401487733132094)	(210, 1.401487733132094)	(215, 1.401487733132094)	(220, 1.401487733132094)	(225, 1.401487733132094)	(230, 1.4045679259521644)	(235, 1.758482080978269)	(240, 1.7587901002602764)
SRR8438042_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.029261831790670094)	(65, 0.03449815958479001)	(70, 0.0671482034775377)	(75, 0.0763887819377493)	(80, 0.07700482050176341)	(85, 0.09394588101215137)	(90, 0.11704732716268038)	(95, 0.11889544285472271)	(100, 0.13060017557099074)	(105, 0.14138085044123763)	(110, 0.14322896613327996)	(115, 0.14322896613327996)	(120, 0.14322896613327996)	(125, 0.14322896613327996)	(130, 0.143536985415287)	(135, 0.1475412360813787)	(140, 0.14938935177342103)	(145, 0.14938935177342103)	(150, 0.15216152531148447)	(155, 0.15400964100352682)	(160, 0.15400964100352682)	(165, 0.15400964100352682)	(170, 0.15400964100352682)	(175, 0.15400964100352682)	(180, 0.154933698849548)	(185, 0.1555497374135621)	(190, 0.1555497374135621)	(195, 0.1555497374135621)	(200, 0.1555497374135621)	(205, 0.1555497374135621)	(210, 0.1555497374135621)	(215, 0.1555497374135621)	(220, 0.1555497374135621)	(225, 0.21037716961081765)	(230, 0.24795552201567822)	(235, 0.24795552201567822)	(240, 0.2479555220156782)
SRR8438043 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 60.0)	(85, 100.0)	(90, 100.0)	(95, 100.0)	(100, 100.0)	(105, 100.0)	(110, 100.0)	(115, 100.0)	(120, 100.0)	(125, 100.0)	(130, 100.0)	(135, 100.0)	(140, 100.0)	(145, 100.0)	(150, 100.0)	(155, 100.0)	(160, 100.0)	(165, 100.0)	(170, 100.0)	(175, 100.0)	(180, 100.0)	(185, 100.0)	(190, 100.0)	(195, 100.0)	(200, 100.0)	(205, 100.0)	(210, 100.0)	(215, 100.0)	(220, 100.0)	(225, 100.0)	(230, 100.0)	(235, 100.0)	(240, 100.0)
SRR8438044 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 1.4814814814814814)	(70, 3.7037037037037037)	(75, 3.7037037037037037)	(80, 5.925925925925926)	(85, 7.407407407407407)	(90, 7.407407407407407)	(95, 7.407407407407407)	(100, 7.407407407407407)	(105, 7.407407407407407)	(110, 10.37037037037037)	(115, 16.296296296296298)	(120, 21.481481481481485)	(125, 27.40740740740741)	(130, 39.99999999999999)	(135, 43.70370370370371)	(140, 44.44444444444444)	(145, 45.18518518518518)	(150, 52.592592592592595)	(155, 55.55555555555556)	(160, 56.29629629629629)	(165, 62.222222222222214)	(170, 68.14814814814815)	(175, 72.5925925925926)	(180, 77.77777777777777)	(185, 87.40740740740742)	(190, 92.5925925925926)	(195, 92.5925925925926)	(200, 92.5925925925926)	(205, 92.5925925925926)	(210, 92.5925925925926)	(215, 92.5925925925926)	(220, 92.5925925925926)	(225, 92.5925925925926)	(230, 92.5925925925926)	(235, 92.5925925925926)	(240, 92.5925925925926)
SRR8438044 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.7407407407407407)	(130, 3.7037037037037037)	(135, 3.7037037037037037)	(140, 3.7037037037037037)	(145, 3.7037037037037037)	(150, 3.7037037037037037)	(155, 3.7037037037037037)	(160, 3.7037037037037037)	(165, 3.7037037037037037)	(170, 3.7037037037037037)	(175, 3.7037037037037037)	(180, 3.7037037037037037)	(185, 4.444444444444445)	(190, 7.407407407407407)	(195, 7.407407407407407)	(200, 7.407407407407407)	(205, 7.407407407407407)	(210, 10.37037037037037)	(215, 11.11111111111111)	(220, 11.11111111111111)	(225, 11.11111111111111)	(230, 11.851851851851851)	(235, 16.296296296296298)	(240, 18.51851851851852)
SRR8438044_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.001076339369803299)	(70, 0.026729094350115258)	(75, 0.03856882741795155)	(80, 0.04269479500219753)	(85, 0.0511261200656567)	(90, 0.053278798805263296)	(95, 0.05794293607441092)	(100, 0.06188951376368969)	(105, 0.06224829355362412)	(110, 0.06978266914224722)	(115, 0.07337046704159154)	(120, 0.07677887504596866)	(125, 0.0771376548359031)	(130, 0.0771376548359031)	(135, 0.7053610670110952)	(140, 1.1220837930199392)	(145, 1.1220837930199392)	(150, 1.1220837930199392)	(155, 1.12656854039412)	(160, 1.1290799989236606)	(165, 1.1427136309411692)	(170, 1.1427136309411692)	(175, 1.145045699575743)	(180, 1.1480953277901855)	(185, 1.1524006852693989)	(190, 1.1552709235888743)	(195, 1.1552709235888743)	(200, 1.1552709235888743)	(205, 1.1552709235888743)	(210, 1.1572442124335138)	(215, 1.1588587214882187)	(220, 1.1595762810680874)	(225, 1.16262590928253)	(230, 1.1782328301446778)	(235, 1.4143099319215344)	(240, 1.415386271291338)
SRR8438044_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0021526787396065976)	(65, 0.0057404766389509265)	(70, 0.006458036218819793)	(75, 0.00968705432822969)	(80, 0.009866444223196907)	(85, 0.009866444223196907)	(90, 0.009866444223196907)	(95, 0.009866444223196907)	(100, 0.01112217348796742)	(105, 0.013095462332606805)	(110, 0.01686265012691835)	(115, 0.01793898949672165)	(120, 0.018118379391688866)	(125, 0.10027895128667401)	(130, 0.4321502569760245)	(135, 0.4387876830898116)	(140, 0.4395052426696805)	(145, 0.4398640224596148)	(150, 0.4404021921445165)	(155, 0.4425548708841231)	(160, 0.44309304056902477)	(165, 0.44309304056902477)	(170, 0.4447075496237297)	(175, 0.4484747374180412)	(180, 0.4493716868928773)	(185, 0.4493716868928773)	(190, 0.4493716868928773)	(195, 0.4493716868928773)	(200, 0.4493716868928773)	(205, 0.4493716868928773)	(210, 0.4493716868928773)	(215, 0.4493716868928773)	(220, 0.4493716868928773)	(225, 0.4970893989541569)	(230, 0.5220245943546)	(235, 0.5220245943546)	(240, 0.5220245943546)
SRR8438045 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 80.0)	(150, 100.0)	(155, 100.0)	(160, 100.0)	(165, 100.0)	(170, 100.0)	(175, 100.0)	(180, 100.0)	(185, 100.0)	(190, 100.0)	(195, 100.0)	(200, 100.0)	(205, 100.0)	(210, 100.0)	(215, 100.0)	(220, 100.0)	(225, 100.0)	(230, 100.0)	(235, 100.0)	(240, 100.0)
