Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR8438042	3.7037037037037033	96.29629629629633
SRR8438042_1	19.65009009563999	53.099444025196
SRR8438042_2	14.162726586684327	45.42976390322037
SRR8438043	100.0	0.0
SRR8438043_1	46.17919670442843	42.286302780638586
SRR8438043_2	43.37796086508754	36.99279093717829
SRR8438044	3.7037037037037033	96.29629629629633
SRR8438044_1	62.10119383975101	22.89553229466582
SRR8438044_2	53.146947232462395	22.002170617729178
SRR8438045	100.0	0.0
SRR8438045_1	22.356763142350857	59.8973715298287
SRR8438045_2	20.48877731836976	49.23213230950972
SRR8438046	25.0	75.0
SRR8438046_1	32.20123433701141	39.96259584813911
SRR8438046_2	29.841032354591356	30.22629511875816
SRR8438047	14.285714285714285	85.7142857142857
SRR8438047_1	36.29107048224695	46.472575516693084
SRR8438047_2	29.186539480657125	44.707207207207226
SRR8438048	6.666666666666667	93.33333333333334
SRR8438048_1	76.45392339414433	13.990335736071927
SRR8438048_2	68.49061561132753	15.701573013171284
SRR8438049	5.0	95.0
SRR8438049_1	27.92413066385669	52.59603410288345
SRR8438049_2	24.586486572787944	48.04499153814223
SRR8438050	5.88235294117647	94.1176470588235
SRR8438050_1	72.9110418830045	13.873312564901326
SRR8438050_2	70.47421253028729	12.16337833160263
SRR8438051	5.88235294117647	94.1176470588235
SRR8438051_1	79.42703102700989	11.697235583276068
SRR8438051_2	59.39003118558064	22.49907500396428
SRR8438052	2.127659574468085	97.87234042553185
SRR8438052_1	26.807447295252175	51.67845704431072
SRR8438052_2	20.583535705486923	45.33347411396191
SRR8438053	8.333333333333332	91.66666666666663
SRR8438053_1	33.20532694475761	41.79467305524242
SRR8438053_2	24.312993235625704	41.78410372040586
SRR8438054	100.0	0.0
SRR8438054_1	3.8293584145112534	72.9593550554253
SRR8438054_2	3.9637218676519987	57.60833053409465
SRR8438055	4.0	96.0
SRR8438055_1	27.637747459617017	54.50143718877774
SRR8438055_2	22.96263309177766	49.31055422857375
SRR8438056	20.0	80.0
SRR8438056_1	24.598324929493206	55.843517648064235
SRR8438056_2	20.049568412956155	51.37167763439026
SRR8438057	5.88235294117647	94.1176470588235
SRR8438057_1	38.68676247225143	43.0739572379951
SRR8438057_2	34.57646921369319	42.06098843322815
SRR8438058	5.88235294117647	94.1176470588235
SRR8438058_1	38.51297405189621	43.369510978043905
SRR8438058_2	33.771207584830336	38.143712574850284
SRR8438059	6.666666666666667	93.33333333333334
SRR8438059_1	30.40346421284923	49.273431319482
SRR8438059_2	26.18978223758171	44.53303909730607
SRR8438060	16.666666666666664	83.33333333333331
SRR8438060_1	14.936011663696744	51.611858091689626
