Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR8438042	(1, 31.074074074074073)	(2, 30.555555555555557)	(3, 31.51851851851852)	(4, 30.555555555555557)	(5, 31.25925925925926)	(6, 31.62962962962963)	(7, 32.77777777777778)	(8, 32.25925925925926)	(9, 31.74074074074074)	(10, 32.925925925925924)	(15, 33.20740740740741)	(20, 34.407407407407405)	(25, 32.385185185185186)	(30, 31.074074074074076)	(35, 32.62222222222222)	(40, 34.059259259259264)	(45, 34.681481481481484)	(50, 34.333333333333336)	(55, 34.61481481481482)	(60, 35.162962962962965)	(65, 35.355555555555554)	(70, 33.548148148148144)	(75, 33.022222222222226)	(80, 34.207407407407416)	(85, 32.992592592592594)	(90, 34.222222222222214)	(95, 34.474074074074075)	(100, 33.06666666666667)	(105, 33.925925925925924)	(110, 33.31111111111112)	(115, 33.992592592592594)	(120, 33.55555555555556)	(125, 34.31111111111112)	(130, 33.56296296296296)	(135, 34.0)	(140, 32.01481481481481)	(145, 31.25925925925926)	(150, 31.6)	(155, 31.518518518518515)	(160, 30.696296296296293)	(165, 30.244444444444447)	(170, 30.014814814814816)	(175, 29.888888888888886)	(180, 28.22222222222222)	(185, 28.25925925925926)	(190, 27.65925925925926)	(195, 25.755555555555553)	(200, 25.851851851851855)	(205, 27.081481481481482)	(210, 25.925925925925924)	(215, 25.888888888888893)	(220, 23.26666666666667)	(225, 23.733333333333334)	(230, 22.970370370370368)	(235, 21.385185185185186)	(240, 19.3037037037037)	(245, 20.405071225071225)	(250, 15.815555555555555)
SRR8438042_1	(1, 32.008362723506494)	(2, 31.865857602685928)	(3, 31.72395311946528)	(4, 31.779150174800943)	(5, 29.467942893225114)	(6, 30.250881705194747)	(7, 31.613358796260645)	(8, 30.626018388751135)	(9, 30.747732208036222)	(10, 32.488543222805745)	(15, 35.86921809305262)	(20, 35.51988110455714)	(25, 34.740333584882414)	(30, 34.5265651229767)	(35, 34.83485546195192)	(40, 35.33745976498129)	(45, 34.98147264018728)	(50, 36.0006899631917)	(55, 33.9187075510927)	(60, 35.96770109808874)	(65, 34.79463738430026)	(70, 33.98240593861176)	(75, 35.58839691364679)	(80, 34.438585575457026)	(85, 34.46847576658298)	(90, 35.02983782784803)	(95, 34.92837319616208)	(100, 35.41660839968582)	(105, 34.17489334832361)	(110, 34.49002171535938)	(115, 33.266063975604865)	(120, 33.889593568557395)	(125, 33.42599374720858)	(130, 33.31701344504167)	(135, 32.03885047203955)	(140, 33.05848362107468)	(145, 32.88240747870817)	(150, 32.19017726509679)	(155, 32.708025442392696)	(160, 31.591153686220757)	(165, 32.8987571421971)	(170, 32.4892116246477)	(175, 32.2122160447244)	(180, 30.892726124655404)	(185, 32.57237375059678)	(190, 32.360826107714345)	(195, 30.243409157413254)	(200, 30.686590380557824)	(205, 32.53521738460827)	(210, 31.51013845466726)	(215, 31.920407817529377)	(220, 31.26577751767261)	(225, 30.302077590057138)	(230, 29.09296329950255)	(235, 29.134152595741465)	(240, 30.647459324454303)	(245, 29.76261760235598)	(250, 26.79109950328686)
SRR8438042_2	(1, 29.300118587423572)	(2, 29.921747701406108)	(3, 29.80835040273521)	(4, 30.011427515362463)	(5, 30.01707966918729)	(6, 32.670111348970444)	(7, 32.07076743004112)	(8, 29.94233879040828)	(9, 32.29491306155765)	(10, 32.282718578182994)	(15, 32.18982304292249)	(20, 31.725111271965623)	(25, 31.788119696292988)	(30, 31.19274306571591)	(35, 31.539591258412777)	(40, 33.45096487040089)	(45, 35.07370901418429)	(50, 32.32747377985862)	(55, 33.93171212517903)	(60, 34.66149604965271)	(65, 33.055578999245355)	(70, 33.385905037655355)	(75, 32.32689162341563)	(80, 33.250345751644055)	(85, 33.060584312577966)	(90, 30.690144923072182)	(95, 32.25787066270349)	(100, 31.84001786511835)	(105, 31.65664166576828)	(110, 31.305006853429024)	(115, 31.819084874713155)	(120, 32.590876468866945)	(125, 32.424971123192314)	(130, 33.0906993577798)	(135, 31.783293034143934)	(140, 31.761639278618844)	(145, 30.165951548566944)	(150, 30.066322711801757)	(155, 31.258308050083933)	(160, 28.65332737829388)	(165, 28.514047219355934)	(170, 30.035505382636956)	(175, 28.09811030170489)	(180, 30.817196716514456)	(185, 29.190605411898787)	(190, 29.284452726740692)	(195, 26.975232509625535)	(200, 27.776280332531552)	(205, 26.830894729240327)	(210, 24.123055666342335)	(215, 26.512466137463964)	(220, 24.501138271490845)	(225, 24.981851450025847)	(230, 23.74632328024399)	(235, 22.5212971720414)	(240, 22.778927911275417)	(245, 23.643222271915864)	(250, 19.547155521741537)
SRR8438043	(1, 16.0)	(2, 29.0)	(3, 29.0)	(4, 32.0)	(5, 30.0)	(6, 33.0)	(7, 32.0)	(8, 32.0)	(9, 16.0)	(10, 23.8)	(15, 27.6)	(20, 33.6)	(25, 27.6)	(30, 31.6)	(35, 33.2)	(40, 35.8)	(45, 37.6)	(50, 34.6)	(55, 31.0)	(60, 35.4)	(65, 25.8)	(70, 32.4)	(75, 27.6)	(80, 30.6)	(85, 27.0)	(90, 35.6)	(95, 26.4)	(100, 30.2)	(105, 37.2)	(110, 35.4)	(115, 32.4)	(120, 29.4)	(125, 24.8)	(130, 27.6)	(135, 37.2)	(140, 25.6)	(145, 22.6)	(150, 15.2)	(155, 15.4)	(160, 15.0)	(165, 16.2)	(170, 16.8)	(175, 17.0)	(180, 23.0)	(185, 31.6)	(190, 15.8)	(195, 17.2)	(200, 13.2)	(205, 18.4)	(210, 22.6)	(215, 22.2)	(220, 14.0)	(225, 15.2)	(230, 14.8)	(235, 17.6)	(240, 14.4)	(245, 14.4)	(250, 18.0)
SRR8438043_1	(1, 32.43233779608651)	(2, 31.97878475798146)	(3, 31.566426364572607)	(4, 31.931410916580845)	(5, 31.96148300720906)	(6, 29.1167868177137)	(7, 30.95036045314109)	(8, 30.635839340885685)	(9, 31.575077239958805)	(10, 32.15402677651905)	(15, 35.783810504634395)	(20, 36.05153450051493)	(25, 34.503522142121525)	(30, 35.42937178166839)	(35, 35.48037075180226)	(40, 36.379855818743565)	(45, 35.54335736354274)	(50, 35.9071060762101)	(55, 34.75386199794027)	(60, 36.825952626158596)	(65, 36.23616889804325)	(70, 37.10216271884655)	(75, 37.2432955715757)	(80, 36.43229660144182)	(85, 35.82018537590113)	(90, 37.262162718846554)	(95, 36.93285272914521)	(100, 37.50088568486097)	(105, 36.47303810504634)	(110, 36.755633367662206)	(115, 35.96420185375901)	(120, 36.502368692070036)	(125, 34.66311019567456)	(130, 34.86125643666323)	(135, 33.483089598352215)	(140, 35.526179196704426)	(145, 36.82315139031925)	(150, 35.940679711637486)	(155, 35.31575695159629)	(160, 33.90945417095777)	(165, 35.16589083419156)	(170, 34.340267765190525)	(175, 35.13651905252318)	(180, 34.011658084449024)	(185, 35.34755921730175)	(190, 34.89322348094748)	(195, 32.60584963954686)	(200, 32.596622039134914)	(205, 34.85676622039135)	(210, 33.52704428424305)	(215, 34.92741503604532)	(220, 34.06735324407826)	(225, 33.15303810504635)	(230, 31.834191555097835)	(235, 30.975612770339854)	(240, 33.19855818743564)	(245, 32.342982345243335)	(250, 28.921199933618055)
SRR8438043_2	(1, 28.966220391349125)	(2, 31.68259526261586)	(3, 29.638311019567457)	(4, 30.707312049433575)	(5, 29.727085478887744)	(6, 32.797116374871266)	(7, 32.247579814624096)	(8, 29.4043254376931)	(9, 34.11307929969104)	(10, 33.43666323377961)	(15, 33.149495365602476)	(20, 31.69326467559217)	(25, 32.797857878475796)	(30, 31.240494335736354)	(35, 32.928238928939244)	(40, 34.98904222451081)	(45, 36.04065911431514)	(50, 34.52251287332647)	(55, 35.2064675592173)	(60, 35.50549948506694)	(65, 35.19155509783728)	(70, 35.71225540679712)	(75, 35.07938208032956)	(80, 35.12144181256437)	(85, 35.58772399588053)	(90, 32.91588053553038)	(95, 33.57899073120495)	(100, 32.32943357363543)	(105, 32.978125643666324)	(110, 34.77693099897014)	(115, 33.90776519052523)	(120, 35.18315139031925)	(125, 34.0951184346035)	(130, 34.60205973223481)	(135, 33.787682801235846)	(140, 34.796168898043256)	(145, 32.861915550978374)	(150, 32.669948506694126)	(155, 34.89355303810505)	(160, 32.83176107106076)	(165, 30.099814624098865)	(170, 31.532317198764154)	(175, 31.789618949536553)	(180, 32.10463439752832)	(185, 30.651740473738414)	(190, 31.33812564366632)	(195, 27.13091658084449)	(200, 28.116374871266736)	(205, 29.175818743563337)	(210, 26.121812564366632)	(215, 26.70409886714727)	(220, 25.103357363542738)	(225, 26.635345005149333)	(230, 26.180391349124612)	(235, 24.547147270854786)	(240, 23.987312049433577)	(245, 26.203872296601446)	(250, 22.090373245038258)
SRR8438044	(1, 30.666666666666668)	(2, 31.074074074074073)	(3, 31.11111111111111)	(4, 31.814814814814813)	(5, 31.22222222222222)	(6, 33.81481481481482)	(7, 35.148148148148145)	(8, 33.25925925925926)	(9, 33.888888888888886)	(10, 34.27407407407408)	(15, 34.05185185185185)	(20, 34.6074074074074)	(25, 34.89629629629629)	(30, 32.577777777777776)	(35, 34.8)	(40, 35.08888888888889)	(45, 35.288888888888884)	(50, 36.25185185185185)	(55, 35.9037037037037)	(60, 36.25925925925925)	(65, 35.64444444444444)	(70, 36.41481481481482)	(75, 34.46666666666667)	(80, 36.11111111111111)	(85, 34.081481481481475)	(90, 35.05185185185185)	(95, 35.31111111111111)	(100, 35.96296296296296)	(105, 34.98518518518519)	(110, 36.20740740740741)	(115, 34.67407407407406)	(120, 35.08888888888889)	(125, 35.925925925925924)	(130, 36.177777777777784)	(135, 35.44444444444444)	(140, 34.05185185185185)	(145, 33.65925925925926)	(150, 33.385185185185186)	(155, 34.14814814814815)	(160, 33.49629629629629)	(165, 33.27407407407407)	(170, 33.62962962962963)	(175, 32.50370370370371)	(180, 30.77037037037037)	(185, 31.822222222222223)	(190, 27.496296296296293)	(195, 27.422222222222217)	(200, 27.303703703703707)	(205, 26.48888888888889)	(210, 27.251851851851853)	(215, 26.718518518518515)	(220, 23.45925925925926)	(225, 23.177777777777777)	(230, 22.007407407407406)	(235, 21.155555555555555)	(240, 21.36296296296296)	(245, 19.977777777777778)	(250, 20.826923076923077)
SRR8438044_1	(1, 32.31208460027447)	(2, 31.984724950443542)	(3, 31.69574576864085)	(4, 31.878992546349863)	(5, 31.8229690821516)	(6, 29.87333279516365)	(7, 31.43354949815677)	(8, 31.152651831122352)	(9, 31.825695808555103)	(10, 32.34986769995246)	(15, 35.67387275874749)	(20, 35.98880248275615)	(25, 34.58140803128559)	(30, 34.92851671465347)	(35, 35.20345146157917)	(40, 36.63101471894088)	(45, 35.80498165738324)	(50, 35.864732843598915)	(55, 36.11089883306873)	(60, 37.27396245369498)	(65, 36.68170492156177)	(70, 37.01256267434455)	(75, 37.01516741561947)	(80, 36.18018279830297)	(85, 35.31693350913544)	(90, 37.068349343881465)	(95, 36.263516580111045)	(100, 37.515039151844576)	(105, 36.693372440330435)	(110, 37.10194907120882)	(115, 36.571250975432555)	(120, 36.60969064212613)	(125, 36.39419135520096)	(130, 36.195581626886955)	(135, 33.649278404147495)	(140, 34.674832494685575)	(145, 35.10657733049898)	(150, 33.72060562028541)	(155, 33.67196763806295)	(160, 33.074602875620016)	(165, 34.19128882670039)	(170, 33.83430472961459)	(175, 34.74655078079452)	(180, 32.83824592560701)	(185, 33.73850514400523)	(190, 33.368378943214125)	(195, 31.826879781861884)	(200, 32.414577222865034)	(205, 33.5723829256698)	(210, 33.28943303823696)	(215, 33.91217429522195)	(220, 32.751898393563486)	(225, 32.68019087084825)	(230, 31.418697808752434)	(235, 30.62518814366423)	(240, 31.939478532569296)	(245, 31.596208672150112)	(250, 27.531596614757802)
SRR8438044_2	(1, 28.784480980186387)	(2, 30.774910529289887)	(3, 29.9994618303151)	(4, 30.26528177667752)	(5, 27.785808465409144)	(6, 32.10976867673044)	(7, 31.587080339764462)	(8, 29.866803002986842)	(9, 33.52325341513512)	(10, 32.068672245692404)	(15, 33.228087075855015)	(20, 32.91060283974203)	(25, 32.71520598444689)	(30, 28.714149377965537)	(35, 33.83426705773664)	(40, 36.282903246060144)	(45, 36.80275363488774)	(50, 33.40721326767663)	(55, 35.02372790140731)	(60, 35.907485043367515)	(65, 33.623173586631864)	(70, 34.558873072679816)	(75, 34.94512283723058)	(80, 35.43312972580255)	(85, 35.24148929490802)	(90, 33.07632681251066)	(95, 32.64003444285983)	(100, 32.29859268627398)	(105, 35.06153790956955)	(110, 33.88404237189319)	(115, 34.599915686749355)	(120, 32.918391948981515)	(125, 34.23655607279642)	(130, 35.49645615262492)	(135, 35.56912341127825)	(140, 34.81757841580784)	(145, 33.03710679977397)	(150, 33.121192225241955)	(155, 34.4164249387832)	(160, 29.49454923804142)	(165, 28.818005363757862)	(170, 32.12890240292764)	(175, 31.933997075944717)	(180, 31.620274645929193)	(185, 31.785638045008927)	(190, 31.77606737944891)	(195, 30.078180318877777)	(200, 29.413025499569066)	(205, 29.376749355925114)	(210, 27.374719674271518)	(215, 28.595919481587146)	(220, 26.488412554355392)	(225, 27.469367337351333)	(230, 26.561278515873802)	(235, 25.107960754619523)	(240, 23.7399004716435)	(245, 26.59680272591366)	(250, 21.81567029193182)
SRR8438045	(1, 33.0)	(2, 33.0)	(3, 33.0)	(4, 33.0)	(5, 33.0)	(6, 37.0)	(7, 34.0)	(8, 31.0)	(9, 37.0)	(10, 37.4)	(15, 38.0)	(20, 38.4)	(25, 34.4)	(30, 36.8)	(35, 38.2)	(40, 39.0)	(45, 38.4)	(50, 38.6)	(55, 38.8)	(60, 38.6)	(65, 38.0)	(70, 38.0)	(75, 37.4)	(80, 38.6)	(85, 36.8)	(90, 38.4)	(95, 37.8)	(100, 38.2)	(105, 39.0)	(110, 38.8)	(115, 37.2)	(120, 34.8)	(125, 36.6)	(130, 35.2)	(135, 34.4)	(140, 38.4)	(145, 37.4)	(150, 32.6)	(155, 35.2)	(160, 32.4)	(165, 33.6)	(170, 30.6)	(175, 36.6)	(180, 35.0)	(185, 30.8)	(190, 36.6)	(195, 27.4)	(200, 36.2)	(205, 24.6)	(210, 28.4)	(215, 22.6)	(220, 17.6)	(225, 18.0)	(230, 16.0)	(235, 20.6)	(240, 18.4)	(245, 13.6)	(250, 19.0)
