Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR8438042	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.6666666666666666)	(43.0, 0.6666666666666666)	(44.0, 0.6666666666666666)	(45.0, 0.3333333333333333)	(46.0, 1.3333333333333333)	(47.0, 1.9999999999999998)	(48.0, 2.333333333333333)	(49.0, 1.6666666666666665)	(50.0, 0.6666666666666666)	(51.0, 0.6666666666666666)	(52.0, 0.3333333333333333)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438042_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 3.666666666666667)	(27.0, 35.66666666666664)	(28.0, 14.333333333333341)	(29.0, 1.9999999999999998)	(30.0, 1.3333333333333333)	(31.0, 1.0)	(32.0, 1.6666666666666665)	(33.0, 8.999999999999998)	(34.0, 83.66666666666656)	(35.0, 70.66666666666674)	(36.0, 37.99999999999999)	(37.0, 46.66666666666672)	(38.0, 77.33333333333331)	(39.0, 128.9999999999993)	(40.0, 229.33333333333547)	(41.0, 304.00000000000017)	(42.0, 307.99999999999994)	(43.0, 404.6666666666611)	(44.0, 424.33333333332666)	(45.0, 952.666666666705)	(46.0, 1077.3333333333676)	(47.0, 675.6666666666736)	(48.0, 615.3333333333334)	(49.0, 763.3333333333502)	(50.0, 856.3333333333608)	(51.0, 1971.9999999998308)	(52.0, 6745.333333331669)	(53.0, 4878.333333333367)	(54.0, 2183.3333333332084)	(55.0, 2980.0000000002374)	(56.0, 4277.00000000058)	(57.0, 1774.333333333209)	(58.0, 384.66666666666225)	(59.0, 136.66666666666617)	(60.0, 57.6666666666668)	(61.0, 33.33333333333329)	(62.0, 18.333333333333336)	(63.0, 8.33333333333333)	(64.0, 3.3333333333333335)	(65.0, 1.9999999999999998)	(66.0, 3.0)	(67.0, 0.6666666666666666)	(68.0, 0.6666666666666666)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438042_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.3333333333333333)	(19.0, 0.3333333333333333)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.3333333333333333)	(24.0, 19.0)	(25.0, 31.33333333333329)	(26.0, 8.999999999999998)	(27.0, 3.3333333333333335)	(28.0, 1.3333333333333333)	(29.0, 0.6666666666666666)	(30.0, 0.3333333333333333)	(31.0, 0.6666666666666666)	(32.0, 1.0)	(33.0, 3.0)	(34.0, 13.33333333333334)	(35.0, 57.6666666666668)	(36.0, 48.666666666666735)	(37.0, 42.33333333333336)	(38.0, 21.99999999999999)	(39.0, 20.33333333333333)	(40.0, 40.33333333333334)	(41.0, 65.66666666666681)	(42.0, 114.99999999999945)	(43.0, 460.99999999999125)	(44.0, 687.6666666666749)	(45.0, 451.33333333332513)	(46.0, 547.3333333333256)	(47.0, 729.1666666666797)	(48.0, 621.5000000000008)	(49.0, 789.8333333333532)	(50.0, 1109.1666666666938)	(51.0, 1609.6666666665799)	(52.0, 5158.999999999778)	(53.0, 4714.666666666849)	(54.0, 2695.000000000108)	(55.0, 3403.6666666670967)	(56.0, 4304.666666667222)	(57.0, 2113.3333333331766)	(58.0, 1080.333333333367)	(59.0, 587.9999999999969)	(60.0, 376.6666666666627)	(61.0, 207.0000000000015)	(62.0, 122.33333333333267)	(63.0, 78.3333333333333)	(64.0, 49.66666666666674)	(65.0, 32.333333333333286)	(66.0, 27.333333333333304)	(67.0, 22.33333333333332)	(68.0, 13.000000000000005)	(69.0, 9.333333333333332)	(70.0, 9.666666666666666)	(71.0, 7.33333333333333)	(72.0, 2.333333333333333)	(73.0, 1.9999999999999998)	(74.0, 1.9999999999999998)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.6666666666666666)	(79.0, 0.3333333333333333)	(80.0, 0.6666666666666666)	(81.0, 0.3333333333333333)	(82.0, 0.6666666666666666)	(83.0, 0.3333333333333333)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.6666666666666666)	(87.0, 1.0)	(88.0, 0.0)	(89.0, 0.6666666666666666)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.3333333333333333)	(98.0, 0.3333333333333333)	(99.0, 0.3333333333333333)	(100.0, 0.0)
SRR8438043	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.3333333333333333)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438043_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.6666666666666666)	(36.0, 0.6666666666666666)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.6666666666666666)	(40.0, 1.6666666666666665)	(41.0, 1.3333333333333333)	(42.0, 4.0)	(43.0, 3.0)	(44.0, 1.0)	(45.0, 3.3333333333333335)	(46.0, 5.666666666666665)	(47.0, 43.00000000000003)	(48.0, 47.66666666666673)	(49.0, 11.000000000000002)	(50.0, 15.666666666666677)	(51.0, 192.66666666666777)	(52.0, 189.33333333333434)	(53.0, 99.66666666666633)	(54.0, 1032.3333333333778)	(55.0, 787.3333333333529)	(56.0, 68.33333333333344)	(57.0, 15.333333333333343)	(58.0, 4.333333333333333)	(59.0, 1.6666666666666665)	(60.0, 0.3333333333333333)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438043_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.6666666666666666)	(38.0, 0.0)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 1.6666666666666665)	(42.0, 2.333333333333333)	(43.0, 1.9999999999999998)	(44.0, 3.666666666666667)	(45.0, 29.333333333333297)	(46.0, 47.00000000000006)	(47.0, 17.000000000000007)	(48.0, 9.333333333333332)	(49.0, 5.333333333333332)	(50.0, 4.666666666666666)	(51.0, 16.666666666666675)	(52.0, 167.3333333333337)	(53.0, 178.66666666666737)	(54.0, 290.00000000000097)	(55.0, 939.6666666667036)	(56.0, 428.66666666665975)	(57.0, 130.666666666666)	(58.0, 49.00000000000007)	(59.0, 16.666666666666675)	(60.0, 10.0)	(61.0, 4.999999999999999)	(62.0, 2.6666666666666665)	(63.0, 1.9999999999999998)	(64.0, 1.0)	(65.0, 0.3333333333333333)	(66.0, 1.0)	(67.0, 0.6666666666666666)	(68.0, 0.0)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 0.6666666666666666)	(42.0, 0.0)	(43.0, 0.6666666666666666)	(44.0, 2.333333333333333)	(45.0, 1.6666666666666665)	(46.0, 1.3333333333333333)	(47.0, 1.0)	(48.0, 1.0)	(49.0, 1.6666666666666665)	(50.0, 0.6666666666666666)	(51.0, 0.0)	(52.0, 1.0)	(53.0, 1.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 1.3333333333333333)	(35.0, 3.0)	(36.0, 5.666666666666665)	(37.0, 20.33333333333333)	(38.0, 15.333333333333343)	(39.0, 34.99999999999997)	(40.0, 85.66666666666653)	(41.0, 241.33333333333582)	(42.0, 317.33333333333275)	(43.0, 396.33333333332826)	(44.0, 497.99999999998914)	(45.0, 570.3333333333283)	(46.0, 585.9999999999967)	(47.0, 609.6666666666661)	(48.0, 912.0000000000338)	(49.0, 693.3333333333422)	(50.0, 1388.3333333332969)	(51.0, 16397.00000001187)	(52.0, 23001.333333321178)	(53.0, 7642.999999997519)	(54.0, 2002.6666666664905)	(55.0, 921.0000000000348)	(56.0, 590.9999999999973)	(57.0, 292.6666666666675)	(58.0, 108.99999999999953)	(59.0, 93.33333333333309)	(60.0, 58.666666666666806)	(61.0, 8.666666666666664)	(62.0, 3.666666666666667)	(63.0, 4.0)	(64.0, 1.3333333333333333)	(65.0, 0.6666666666666666)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.6666666666666666)	(37.0, 1.3333333333333333)	(38.0, 1.3333333333333333)	(39.0, 16.00000000000001)	(40.0, 25.33333333333331)	(41.0, 61.66666666666683)	(42.0, 131.99999999999937)	(43.0, 215.1666666666684)	(44.0, 258.00000000000273)	(45.0, 217.50000000000182)	(46.0, 309.3333333333332)	(47.0, 434.8333333333261)	(48.0, 932.8333333333695)	(49.0, 1350.3333333333055)	(50.0, 1283.3333333333208)	(51.0, 1792.333333333205)	(52.0, 14110.333333341117)	(53.0, 20699.999999996217)	(54.0, 8938.999999998377)	(55.0, 2728.3333333334563)	(56.0, 1201.3333333333394)	(57.0, 904.6666666666996)	(58.0, 637.0000000000025)	(59.0, 292.6666666666675)	(60.0, 148.33333333333317)	(61.0, 128.9999999999993)	(62.0, 108.6666666666662)	(63.0, 46.66666666666672)	(64.0, 25.33333333333331)	(65.0, 18.333333333333336)	(66.0, 11.000000000000002)	(67.0, 6.666666666666664)	(68.0, 7.666666666666663)	(69.0, 3.0)	(70.0, 1.9999999999999998)	(71.0, 2.333333333333333)	(72.0, 1.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.6666666666666666)	(76.0, 0.3333333333333333)	(77.0, 0.0)	(78.0, 0.6666666666666666)	(79.0, 1.0)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 0.6666666666666666)	(83.0, 0.0)	(84.0, 0.3333333333333333)	(85.0, 0.6666666666666666)	(86.0, 0.6666666666666666)	(87.0, 0.6666666666666666)	(88.0, 0.0)	(89.0, 0.6666666666666666)	(90.0, 0.6666666666666666)	(91.0, 0.6666666666666666)	(92.0, 0.3333333333333333)	(93.0, 0.3333333333333333)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.3333333333333333)	(97.0, 0.3333333333333333)	(98.0, 0.6666666666666666)	(99.0, 0.3333333333333333)	(100.0, 0.0)
SRR8438045	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.3333333333333333)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
