Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR8438042	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 5.882352941176471)	(43.0, 5.882352941176471)	(44.0, 5.882352941176471)	(45.0, 2.9411764705882355)	(46.0, 11.764705882352942)	(47.0, 17.647058823529413)	(48.0, 20.588235294117645)	(49.0, 14.705882352941178)	(50.0, 5.882352941176471)	(51.0, 5.882352941176471)	(52.0, 2.9411764705882355)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438042_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0020459102254593775)	(26.0, 0.011252506240026577)	(27.0, 0.10945619706207663)	(28.0, 0.04398706984737664)	(29.0, 0.006137730676378132)	(30.0, 0.004091820450918755)	(31.0, 0.003068865338189066)	(32.0, 0.005114775563648443)	(33.0, 0.027619788043701594)	(34.0, 0.2567617332951515)	(35.0, 0.21686648389869426)	(36.0, 0.1166168828511845)	(37.0, 0.14321371578215658)	(38.0, 0.23732558615328775)	(39.0, 0.3958836286263874)	(40.0, 0.7037931175580324)	(41.0, 0.9329350628094767)	(42.0, 0.9452105241622322)	(43.0, 1.241867506853825)	(44.0, 1.3022218585048733)	(45.0, 2.923605712181568)	(46.0, 3.3061909243424594)	(47.0, 2.0735300135031003)	(48.0, 1.8883751380990057)	(49.0, 2.342567208151039)	(50.0, 2.6279716846026546)	(51.0, 6.05180244690832)	(52.0, 20.700519661192875)	(53.0, 14.970948074799098)	(54.0, 6.700355988379078)	(55.0, 9.145218707804146)	(56.0, 13.125537051436417)	(57.0, 5.445190065059752)	(58.0, 1.1804902000900472)	(59.0, 0.4194115962191709)	(60.0, 0.17697123450223656)	(61.0, 0.10229551127296874)	(62.0, 0.056262531200132894)	(63.0, 0.02557387781824221)	(64.0, 0.010229551127296888)	(65.0, 0.006137730676378132)	(66.0, 0.009206596014567199)	(67.0, 0.0020459102254593775)	(68.0, 0.0020459102254593775)	(69.0, 0.0010229551127296887)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0010229551127296887)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438042_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.001024663654155496)	(19.0, 0.001024663654155496)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.001024663654155496)	(24.0, 0.058405828286863276)	(25.0, 0.09631838349061649)	(26.0, 0.027665918662198384)	(27.0, 0.01024663654155496)	(28.0, 0.004098654616621984)	(29.0, 0.002049327308310992)	(30.0, 0.001024663654155496)	(31.0, 0.002049327308310992)	(32.0, 0.0030739909624664876)	(33.0, 0.009221972887399465)	(34.0, 0.040986546166219856)	(35.0, 0.1772668121689012)	(36.0, 0.14960089350670264)	(37.0, 0.13013228407774804)	(38.0, 0.0676278011742627)	(39.0, 0.06250448290348525)	(40.0, 0.12398430215281504)	(41.0, 0.20185873986863315)	(42.0, 0.3535089606836444)	(43.0, 1.417109833697024)	(44.0, 2.1138811185228135)	(45.0, 1.3873945877265164)	(46.0, 1.6824977201233007)	(47.0, 2.2414517434651877)	(48.0, 1.9104853831729245)	(49.0, 2.4279405285215083)	(50.0, 3.4095683092024958)	(51.0, 4.9481007859166235)	(52.0, 15.858719375363927)	(53.0, 14.492842724375896)	(54.0, 8.284405643847515)	(55.0, 10.462840572583092)	(56.0, 13.232506429765781)	(57.0, 6.496367567345363)	(58.0, 3.3209349031180655)	(59.0, 1.8075066859302855)	(60.0, 1.1578699291956982)	(61.0, 0.6363161292305676)	(62.0, 0.376051561075065)	(63.0, 0.24079595872654147)	(64.0, 0.15267488446916913)	(65.0, 0.09939237445308297)	(66.0, 0.08402241964075058)	(67.0, 0.06865246482841819)	(68.0, 0.03996188251206436)	(69.0, 0.02869058231635388)	(70.0, 0.029715245970509382)	(71.0, 0.022542600391420902)	(72.0, 0.00717264557908847)	(73.0, 0.006147981924932975)	(74.0, 0.006147981924932975)	(75.0, 0.002049327308310992)	(76.0, 0.0)	(77.0, 0.001024663654155496)	(78.0, 0.002049327308310992)	(79.0, 0.001024663654155496)	(80.0, 0.002049327308310992)	(81.0, 0.001024663654155496)	(82.0, 0.002049327308310992)	(83.0, 0.001024663654155496)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.002049327308310992)	(87.0, 0.0030739909624664876)	(88.0, 0.0)	(89.0, 0.002049327308310992)	(90.0, 0.001024663654155496)	(91.0, 0.0)	(92.0, 0.001024663654155496)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.001024663654155496)	(98.0, 0.001024663654155496)	(99.0, 0.001024663654155496)	(100.0, 0.0)
SRR8438043	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 100.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438043_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.026343519494203736)	(36.0, 0.026343519494203736)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.026343519494203736)	(40.0, 0.06585879873550934)	(41.0, 0.05268703898840747)	(42.0, 0.1580611169652224)	(43.0, 0.11854583772391682)	(44.0, 0.0395152792413056)	(45.0, 0.1317175974710187)	(46.0, 0.22391991570073172)	(47.0, 1.6991570073761422)	(48.0, 1.8835616438355696)	(49.0, 0.4346680716543617)	(50.0, 0.6190727081137882)	(51.0, 7.613277133824924)	(52.0, 7.481559536353901)	(53.0, 3.9383561643834457)	(54.0, 40.79293993677624)	(55.0, 31.111696522655386)	(56.0, 2.7002107481558872)	(57.0, 0.6059009483666863)	(58.0, 0.17123287671232426)	(59.0, 0.06585879873550934)	(60.0, 0.013171759747101868)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438043_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.014096419509444414)	(37.0, 0.02819283901888883)	(38.0, 0.0)	(39.0, 0.014096419509444414)	(40.0, 0.02819283901888883)	(41.0, 0.07048209754722207)	(42.0, 0.09867493656611089)	(43.0, 0.08457851705666648)	(44.0, 0.1550606146038886)	(45.0, 1.240484916831107)	(46.0, 1.987595150831665)	(47.0, 0.7189173949816654)	(48.0, 0.39469974626444354)	(49.0, 0.22554271215111057)	(50.0, 0.19734987313222177)	(51.0, 0.7048209754722211)	(52.0, 7.076402593741113)	(53.0, 7.555680857062236)	(54.0, 12.263884973216681)	(55.0, 39.73780659712537)	(56.0, 18.127995489145224)	(57.0, 5.525796447702183)	(58.0, 2.072173667888332)	(59.0, 0.7048209754722211)	(60.0, 0.42289258528333246)	(61.0, 0.21144629264166617)	(62.0, 0.11277135607555532)	(63.0, 0.08457851705666648)	(64.0, 0.04228925852833325)	(65.0, 0.014096419509444414)	(66.0, 0.04228925852833325)	(67.0, 0.02819283901888883)	(68.0, 0.0)	(69.0, 0.014096419509444414)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 2.3809523809523814)	(40.0, 4.761904761904763)	(41.0, 4.761904761904763)	(42.0, 0.0)	(43.0, 4.761904761904763)	(44.0, 16.666666666666668)	(45.0, 11.904761904761907)	(46.0, 9.523809523809526)	(47.0, 7.142857142857145)	(48.0, 7.142857142857145)	(49.0, 11.904761904761907)	(50.0, 4.761904761904763)	(51.0, 0.0)	(52.0, 7.142857142857145)	(53.0, 7.142857142857145)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0005796362203081641)	(34.0, 0.0023185448812326564)	(35.0, 0.005216725982773477)	(36.0, 0.009853815745238787)	(37.0, 0.035357809438798)	(38.0, 0.026663266134175564)	(39.0, 0.06086180313235719)	(40.0, 0.14896650861919794)	(41.0, 0.4196566235031151)	(42.0, 0.5518136817333713)	(43.0, 0.6891874659463983)	(44.0, 0.8659765131403784)	(45.0, 0.99175757294726)	(46.0, 1.0190004753017468)	(47.0, 1.0601546469436312)	(48.0, 1.5858846987631958)	(49.0, 1.2056433382409968)	(50.0, 2.4141848575834404)	(51.0, 28.512885313199543)	(52.0, 39.99721774612342)	(53.0, 13.290478895441582)	(54.0, 3.482454411611144)	(55.0, 1.6015348767115178)	(56.0, 1.0276950186063702)	(57.0, 0.5089206014305695)	(58.0, 0.18954104404076885)	(59.0, 0.16229814168628554)	(60.0, 0.10201597477423714)	(61.0, 0.015070541728012265)	(62.0, 0.006375998423389806)	(63.0, 0.0069556346436979695)	(64.0, 0.0023185448812326564)	(65.0, 0.0011592724406163282)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR8438044_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0005841053258723365)	(36.0, 0.001168210651744673)	(37.0, 0.002336421303489346)	(38.0, 0.002336421303489346)	(39.0, 0.028037055641872175)	(40.0, 0.044392004766297545)	(41.0, 0.10805948528638257)	(42.0, 0.2313057090454442)	(43.0, 0.37703998785059634)	(44.0, 0.4520975222251933)	(45.0, 0.3811287251317028)	(46.0, 0.5420497424095281)	(47.0, 0.7619653976004505)	(48.0, 1.6346187544537976)	(49.0, 2.366210675108787)	(50.0, 2.248805504608474)	(51.0, 3.140734337215329)	(52.0, 24.725762549515522)	(53.0, 36.272940736665475)	(54.0, 15.663952523915608)	(55.0, 4.780902092265291)	(56.0, 2.105115594443912)	(57.0, 1.5852618544175794)	(58.0, 1.1162252777420396)	(59.0, 0.512844476115913)	(60.0, 0.25992687001318954)	(61.0, 0.22604876111259306)	(62.0, 0.19041833623438092)	(63.0, 0.08177474562212722)	(64.0, 0.044392004766297545)	(65.0, 0.03212579292297851)	(66.0, 0.019275475753787113)	(67.0, 0.011682106517446729)	(68.0, 0.013434422495063736)	(69.0, 0.00525694793285103)	(70.0, 0.0035046319552340193)	(71.0, 0.0040887372811063555)	(72.0, 0.002336421303489346)	(73.0, 0.001168210651744673)	(74.0, 0.0)	(75.0, 0.001168210651744673)	(76.0, 0.0005841053258723365)	(77.0, 0.0)	(78.0, 0.001168210651744673)	(79.0, 0.0017523159776170099)	(80.0, 0.0005841053258723365)	(81.0, 0.0005841053258723365)	(82.0, 0.001168210651744673)	(83.0, 0.0)	(84.0, 0.0005841053258723365)	(85.0, 0.001168210651744673)	(86.0, 0.001168210651744673)	(87.0, 0.001168210651744673)	(88.0, 0.0)	(89.0, 0.001168210651744673)	(90.0, 0.001168210651744673)	(91.0, 0.001168210651744673)	(92.0, 0.0005841053258723365)	(93.0, 0.0005841053258723365)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0005841053258723365)	(97.0, 0.0005841053258723365)	(98.0, 0.001168210651744673)	(99.0, 0.0005841053258723365)	(100.0, 0.0)
SRR8438045	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 100.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
