Sample	Unique Reads	Duplicate Reads
SRR8438042	27.0	0.0
SRR8438042_1	8552.0	56379.0
SRR8438042_2	17030.0	47901.0
SRR8438043	1.0	0.0
SRR8438043_1	475.0	4380.0
SRR8438043_2	829.0	4026.0
SRR8438044	27.0	0.0
SRR8438044_1	6145.0	105344.0
SRR8438044_2	13202.0	98287.0
SRR8438045	1.0	0.0
SRR8438045_1	2789.0	24299.0
SRR8438045_2	5801.0	21287.0
SRR8438046	4.0	0.0
SRR8438046_1	3589.0	23146.0
SRR8438046_2	8052.0	18683.0
SRR8438047	7.0	0.0
SRR8438047_1	2376.0	27816.0
SRR8438047_2	4646.0	25546.0
SRR8438048	15.0	0.0
SRR8438048_1	3179.0	84360.0
SRR8438048_2	7425.0	80114.0
SRR8438049	20.0	0.0
SRR8438049_1	7768.0	117500.0
SRR8438049_2	15947.0	109321.0
SRR8438050	17.0	0.0
SRR8438050_1	1860.0	27030.0
SRR8438050_2	2659.0	26231.0
SRR8438051	17.0	0.0
SRR8438051_1	3523.0	91072.0
SRR8438051_2	8648.0	85947.0
SRR8438052	94.0	0.0
SRR8438052_1	11600.0	130465.0
SRR8438052_2	25790.0	116275.0
SRR8438053	12.0	0.0
SRR8438053_1	2682.0	25702.0
SRR8438053_2	4266.0	24118.0
SRR8438054	1.0	0.0
SRR8438054_1	770.0	2207.0
SRR8438054_2	1196.0	1781.0
SRR8438055	25.0	0.0
SRR8438055_1	7151.0	116354.0
SRR8438055_2	16262.0	107243.0
SRR8438056	5.0	0.0
SRR8438056_1	4324.0	42480.0
SRR8438056_2	8227.0	38577.0
SRR8438057	17.0	0.0
SRR8438057_1	5145.0	80445.0
SRR8438057_2	9283.0	76307.0
SRR8438058	17.0	0.0
SRR8438058_1	4891.0	75269.0
SRR8438058_2	11035.0	69125.0
SRR8438059	15.0	0.0
SRR8438059_1	4568.0	43466.0
SRR8438059_2	8334.0	39700.0
SRR8438060	6.0	0.0
SRR8438060_1	3135.0	15384.0
SRR8438060_2	8093.0	10426.0
SRR8438061	32.0	0.0
SRR8438061_1	6002.0	64364.0
SRR8438061_2	10980.0	59386.0
SRR8438062	4.0	0.0
SRR8438062_1	4560.0	31794.0
SRR8438062_2	10691.0	25663.0
SRR8438063	14.0	0.0
SRR8438063_1	3685.0	73682.0
SRR8438063_2	7837.0	69530.0
SRR8438064	4.0	0.0
SRR8438064_1	4487.0	52417.0
SRR8438064_2	11324.0	45580.0
SRR8438065	13.0	0.0
SRR8438065_1	3834.0	104570.0
SRR8438065_2	11923.0	96481.0
SRR8438066	22.0	0.0
SRR8438066_1	4428.0	128360.0
SRR8438066_2	16654.0	116134.0
SRR8438067	5.0	0.0
SRR8438067_1	2355.0	29668.0
SRR8438067_2	5580.0	26443.0
SRR8438068_1	1549.0	8203.0
SRR8438068_2	2252.0	7500.0
SRR8438069	17.0	0.0
SRR8438069_1	1670.0	24754.0
SRR8438069_2	2512.0	23912.0
SRR8438070	15.0	0.0
SRR8438070_1	3822.0	80739.0
SRR8438070_2	11396.0	73165.0
SRR8438071	33.0	0.0
SRR8438071_1	4937.0	94423.0
SRR8438071_2	13873.0	85487.0
SRR8438072	20.0	0.0
SRR8438072_1	4256.0	129009.0
SRR8438072_2	12019.0	121246.0
SRR8438073	14.0	0.0
SRR8438073_1	3217.0	79704.0
SRR8438073_2	7218.0	75703.0
SRR8438074	8.0	0.0
SRR8438074_1	2583.0	104354.0
SRR8438074_2	9496.0	97441.0
SRR8438075	3.0	0.0
SRR8438075_1	2713.0	9818.0
SRR8438075_2	4868.0	7663.0
SRR8438076	6.0	0.0
SRR8438076_1	3726.0	64305.0
SRR8438076_2	9005.0	59026.0
SRR8438077	25.0	0.0
SRR8438077_1	6788.0	74029.0
SRR8438077_2	20245.0	60572.0
SRR8438078	15.0	0.0
SRR8438078_1	6445.0	79503.0
SRR8438078_2	16550.0	69398.0
SRR8438079	10.0	0.0
SRR8438079_1	2878.0	89342.0
SRR8438079_2	7561.0	84659.0
SRR8438080	15.0	0.0
SRR8438080_1	3719.0	97315.0
SRR8438080_2	9082.0	91952.0
SRR8438081	41.0	0.0
SRR8438081_1	5118.0	106667.0
SRR8438081_2	12788.0	98997.0
SRR8438082	19.0	0.0
SRR8438082_1	5182.0	114391.0
SRR8438082_2	10901.0	108672.0
SRR8438083	27.0	0.0
SRR8438083_1	3446.0	117847.0
SRR8438083_2	9943.0	111350.0
SRR8438084_1	3552.0	28607.0
SRR8438084_2	7755.0	24404.0
SRR8438085	2.0	0.0
SRR8438085_1	5149.0	38008.0
SRR8438085_2	14092.0	29065.0
SRR8438086	1.0	0.0
SRR8438086_1	2801.0	30185.0
SRR8438086_2	9327.0	23659.0
SRR8438087	11.0	0.0
SRR8438087_1	4383.0	93086.0
SRR8438087_2	12716.0	84753.0
SRR8438088	27.0	0.0
SRR8438088_1	3374.0	94622.0
SRR8438088_2	8411.0	89585.0
SRR8438089	10.0	0.0
SRR8438089_1	4433.0	77020.0
SRR8438089_2	11163.0	70290.0
SRR8438090	24.0	0.0
SRR8438090_1	3322.0	74065.0
SRR8438090_2	7408.0	69979.0
SRR8438091	7.0	0.0
SRR8438091_1	2546.0	80574.0
SRR8438091_2	6985.0	76135.0
SRR8438092	2.0	0.0
SRR8438092_1	4985.0	81405.0
SRR8438092_2	14765.0	71625.0
SRR8438093	1.0	0.0
SRR8438093_1	996.0	8925.0
SRR8438093_2	1831.0	8090.0
SRR8438094	35.0	0.0
SRR8438094_1	3075.0	85412.0
SRR8438094_2	8761.0	79726.0
SRR8438095	28.0	1.0
SRR8438095_1	3965.0	84964.0
SRR8438095_2	9726.0	79203.0
SRR8438096	9.0	0.0
SRR8438096_1	3045.0	32384.0
SRR8438096_2	6083.0	29346.0
SRR8438097	10.0	0.0
SRR8438097_1	3669.0	28274.0
SRR8438097_2	6825.0	25118.0
SRR8438098	15.0	0.0
SRR8438098_1	6758.0	63084.0
SRR8438098_2	12845.0	56997.0
SRR8438099	33.0	2.0
SRR8438099_1	3332.0	123231.0
SRR8438099_2	12702.0	113861.0
