Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8438042	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438042_1	(1.0, 10.183117463153193)	(2.0, 2.461074063236359)	(3.0, 1.418428793642482)	(4.0, 1.0780674870246876)	(5.0, 0.8470530255193975)	(6.0, 0.6745622275954475)	(7.0, 0.528253068642097)	(8.0, 0.38194390968874653)	(9.0, 0.5267129722320617)	('>10', 7.264634766136361)	('>50', 5.658314210469576)	('>100', 14.358318830758806)	('>500', 5.6336726679090114)	('>1k', 17.312223745206452)	('>5k', 12.023532673145338)	('>10k+', 19.65009009563999)
SRR8438042_2	(1.0, 22.973618148496097)	(2.0, 2.956985107267715)	(3.0, 1.492353421324175)	(4.0, 1.0349447875437001)	(5.0, 0.7777486870678104)	(6.0, 0.7484868552771404)	(7.0, 0.49591104403135633)	(8.0, 0.6530008778549536)	(9.0, 0.5544347076126965)	('>10', 7.929956415271596)	('>50', 3.7054719625448556)	('>100', 14.952796045032418)	('>500', 5.479663026905484)	('>1k', 22.081902327085675)	('>5k', 14.162726586684327)	('>10k+', 0.0)
SRR8438043	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438043_1	(1.0, 7.126673532440783)	(2.0, 2.389289392378991)	(3.0, 1.3594232749742534)	(4.0, 0.659114315139032)	(5.0, 1.0298661174047374)	(6.0, 0.24716786817713696)	(7.0, 0.576725025746653)	(8.0, 0.4943357363542739)	(9.0, 0.3707518022657055)	('>10', 5.3141091658084445)	('>50', 1.2770339855818744)	('>100', 4.675592173017508)	('>500', 28.300720906282184)	('>1k', 46.17919670442843)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438043_2	(1.0, 13.676622039134912)	(2.0, 2.760041194644696)	(3.0, 2.03913491246138)	(4.0, 1.153450051493306)	(5.0, 0.6179196704428425)	(6.0, 0.8650875386199793)	(7.0, 1.153450051493306)	(8.0, 0.329557157569516)	(9.0, 0.9268795056642637)	('>10', 7.0236869207003085)	('>50', 1.0916580844490216)	('>100', 24.98455200823893)	('>500', 0.0)	('>1k', 43.37796086508754)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438044	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438044_1	(1.0, 4.224632026477948)	(2.0, 1.0888966624510041)	(3.0, 0.5919866533918144)	(4.0, 0.37313098153181035)	(5.0, 0.26460009507664434)	(6.0, 0.2744665392998412)	(7.0, 0.25114585295410313)	(8.0, 0.25114585295410313)	(9.0, 0.23410381293221752)	('>10', 3.0819183955367797)	('>50', 3.5151449918826074)	('>100', 11.429827157836199)	('>500', 3.151880454573994)	('>1k', 9.165926683349927)	('>5k', 0.0)	('>10k+', 62.10119383975101)
SRR8438044_2	(1.0, 9.98932630124945)	(2.0, 1.6378297410506866)	(3.0, 0.9121976159082958)	(4.0, 0.5704598659957485)	(5.0, 0.4260510005471392)	(6.0, 0.3605736888841052)	(7.0, 0.25114585295410313)	(8.0, 0.26549704455148043)	(9.0, 0.16145090547049484)	('>10', 4.9161800715765684)	('>50', 4.049726878884912)	('>100', 9.567760048076492)	('>500', 4.631847088053529)	('>1k', 9.113006664334598)	('>5k', 0.0)	('>10k+', 53.146947232462395)
SRR8438045	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
