Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
SRR8438042	(247, 1.0)	(248, 1.0)	(249, 0.0)	(250, 16.0)	(251, 9.0)																																											
SRR8438042_1	(238, 2.0)	(239, 0.0)	(240, 0.0)	(241, 1.0)	(242, 0.0)	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 1.0)	(247, 27.0)	(248, 199.0)	(249, 2762.0)	(250, 51441.0)	(251, 10497.0)																																		
SRR8438042_2	(194, 1.0)	(196, 1.0)	(198, 0.0)	(200, 1.0)	(202, 0.0)	(204, 0.0)	(206, 1.0)	(208, 0.0)	(210, 2.0)	(212, 0.0)	(214, 1.0)	(216, 0.0)	(218, 1.0)	(220, 0.0)	(222, 0.0)	(224, 0.0)	(226, 1.0)	(228, 0.0)	(230, 0.0)	(232, 0.0)	(234, 1.0)	(236, 0.0)	(238, 1.0)	(240, 0.0)	(242, 0.0)	(244, 3.0)	(246, 26.0)	(248, 564.0)	(250, 64327.0)																			
SRR8438043	(251, 1.0)																																															
SRR8438043_1	(248, 8.0)	(249, 38.0)	(250, 4601.0)	(251, 208.0)																																												
SRR8438043_2	(249, 7.0)	(250, 6.0)	(251, 4842.0)																																													
SRR8438044	(249, 1.0)	(250, 19.0)	(251, 7.0)																																													
SRR8438044_1	(237, 1.0)	(238, 0.0)	(239, 0.0)	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 3.0)	(244, 0.0)	(245, 3.0)	(246, 3.0)	(247, 21.0)	(248, 181.0)	(249, 2389.0)	(250, 96910.0)	(251, 11977.0)																																	
SRR8438044_2	(188, 1.0)	(190, 0.0)	(192, 0.0)	(194, 0.0)	(196, 2.0)	(198, 0.0)	(200, 0.0)	(202, 1.0)	(204, 1.0)	(206, 1.0)	(208, 1.0)	(210, 0.0)	(212, 1.0)	(214, 0.0)	(216, 1.0)	(218, 2.0)	(220, 1.0)	(222, 1.0)	(224, 0.0)	(226, 2.0)	(228, 1.0)	(230, 0.0)	(232, 0.0)	(234, 0.0)	(236, 2.0)	(238, 0.0)	(240, 2.0)	(242, 1.0)	(244, 6.0)	(246, 37.0)	(248, 522.0)	(250, 110903.0)																
SRR8438045	(251, 1.0)																																															
SRR8438045_1	(245, 1.0)	(246, 2.0)	(247, 8.0)	(248, 52.0)	(249, 2086.0)	(250, 12024.0)	(251, 12915.0)																																									
