Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8438042	SRR8438042.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27.0	6.7 kbp	0.0	247-251	47.0	100.0	250.14814814814815	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438042_1	SRR8438042_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64931.0	16.2 Mbp	0.0	238-251	52.0	13.170904498621613	250.11107175309175	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438042_2	SRR8438042_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64931.0	16.2 Mbp	0.0	195-251	54.0	26.22784186290062	250.47452680537802	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438043	SRR8438043.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	251 bp	0.0	251.0	47.0	100.0	251.0	251	pass	pass	warn	fail	pass	pass	pass	pass	fail	fail
SRR8438043_1	SRR8438043_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4855.0	1.2 Mbp	0.0	248-251	54.0	9.763130792996911	250.03171987641608	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438043_2	SRR8438043_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4855.0	1.2 Mbp	0.0	249-251	55.0	17.05458290422245	250.99588053553038	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438044	SRR8438044.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27.0	6.7 kbp	0.0	249-251	46.0	100.0	250.22222222222223	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438044_1	SRR8438044_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111489.0	27.8 Mbp	0.0	237-251	52.0	5.511754522867727	250.08155064625208	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438044_2	SRR8438044_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111489.0	27.9 Mbp	0.0	189-251	53.0	11.84152696678596	250.48297589896762	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438045	SRR8438045.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	251 bp	0.0	251.0	49.0	100.0	251.0	251	pass	pass	pass	fail	pass	pass	pass	pass	fail	fail
SRR8438045_1	SRR8438045_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27088.0	6.7 Mbp	0.0	245-251	52.0	10.296072061429415	250.39456585942114	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438045_2	SRR8438045_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27088.0	6.7 Mbp	0.0	199-251	53.0	21.415386887182517	250.4785883047844	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438046	SRR8438046.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	1 kbp	0.0	250-251	50.0	100.0	250.5	250	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail
SRR8438046_1	SRR8438046_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26735.0	6.6 Mbp	0.0	242-251	51.0	13.424350102861418	250.5636057602394	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR8438046_2	SRR8438046_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26735.0	6.7 Mbp	0.0	201-251	54.0	30.1178230783617	250.43873199925193	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438047	SRR8438047.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	1.7 kbp	0.0	250-251	46.0	100.0	250.71428571428572	251	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438047_1	SRR8438047_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30192.0	7.5 Mbp	0.0	241-251	51.0	7.869634340222575	250.06332803391626	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438047_2	SRR8438047_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30192.0	7.5 Mbp	0.0	208-251	52.0	15.38487016428193	250.98552596714362	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438048	SRR8438048.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	3.7 kbp	0.0	249-251	46.0	100.0	250.26666666666668	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438048_1	SRR8438048_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87539.0	21.8 Mbp	0.0	237-251	50.0	3.6315242349124395	250.01562732039434	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438048_2	SRR8438048_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87539.0	21.9 Mbp	0.0	193-251	51.0	8.481933766664001	250.49415117833195	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438049	SRR8438049.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20.0	5 kbp	0.0	248-251	46.0	100.0	250.1	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438049_1	SRR8438049_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125268.0	31.3 Mbp	0.0	245-251	51.0	6.2011048312418175	250.0873886387585	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438049_2	SRR8438049_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125268.0	31.4 Mbp	0.0	189-251	52.0	12.730306223456909	250.4916499026088	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438050	SRR8438050.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17.0	4.2 kbp	0.0	249-251	44.0	100.0	250.1764705882353	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438050_1	SRR8438050_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28890.0	7.2 Mbp	0.0	237-251	50.0	6.438213914849429	250.03921772239528	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438050_2	SRR8438050_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28890.0	7.2 Mbp	0.0	189-251	51.0	9.203876773970233	250.4797853928695	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438051	SRR8438051.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17.0	4.2 kbp	0.0	250-251	46.0	100.0	250.23529411764707	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438051_1	SRR8438051_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94595.0	23.6 Mbp	0.0	243-251	53.0	3.7242983244357526	250.00917596067444	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438051_2	SRR8438051_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94595.0	23.7 Mbp	0.0	189-251	54.0	9.142132248004652	250.49162746445373	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438052	SRR8438052.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94.0	23.5 kbp	0.0	247-251	45.0	98.93617021276596	250.2340425531915	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438052_1	SRR8438052_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142065.0	35.5 Mbp	0.0	237-251	51.0	8.164572554816457	250.1159117305459	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438052_2	SRR8438052_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142065.0	35.6 Mbp	0.0	189-251	52.0	18.15366205610108	250.4764614789005	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438053	SRR8438053.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12.0	3 kbp	0.0	250-251	45.0	100.0	250.25	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438053_1	SRR8438053_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28384.0	7.1 Mbp	0.0	245-251	47.0	9.448985343855695	250.49496195039458	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438053_2	SRR8438053_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28384.0	7.1 Mbp	0.0	192-251	48.0	15.029594137542276	250.46455749718152	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438054	SRR8438054.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	248 bp	0.0	248.0	48.0	100.0	248.0	248	pass	pass	pass	fail	pass	pass	pass	pass	fail	fail
SRR8438054_1	SRR8438054_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2977.0	745.4 kbp	0.0	244-251	49.0	25.86496472959355	250.41887806516627	251	pass	fail	warn	fail	fail	pass	warn	fail	fail	fail
SRR8438054_2	SRR8438054_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2977.0	746.7 kbp	0.0	246-251	53.0	40.174672489082965	250.83439704400402	251	pass	fail	fail	fail	warn	pass	warn	fail	fail	pass
SRR8438055	SRR8438055.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25.0	6.2 kbp	0.0	250-251	46.0	100.0	250.36	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438055_1	SRR8438055_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123505.0	30.8 Mbp	0.0	238-251	53.0	5.790048985871017	250.10984980365168	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438055_2	SRR8438055_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123505.0	30.9 Mbp	0.0	189-251	54.0	13.167078255941057	250.49017043844378	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438056	SRR8438056.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5.0	1.2 kbp	0.0	248-251	48.0	100.0	249.8	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438056_1	SRR8438056_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46804.0	11.7 Mbp	0.0	237-251	51.0	9.23852662165627	250.09437227587387	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438056_2	SRR8438056_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46804.0	11.7 Mbp	0.0	235-251	53.0	17.577557473720194	250.9772028031792	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438057	SRR8438057.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17.0	4.2 kbp	0.0	250-251	47.0	100.0	250.11764705882354	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438057_1	SRR8438057_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85590.0	21.4 Mbp	0.0	237-251	51.0	6.011216263582194	250.1118238111929	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438057_2	SRR8438057_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85590.0	21.4 Mbp	0.0	191-251	52.0	10.84589321182381	250.48693772636992	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438058	SRR8438058.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17.0	4.2 kbp	0.0	249-251	46.0	100.0	250.64705882352942	251	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438058_1	SRR8438058_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80160.0	20 Mbp	0.0	241-251	52.0	6.101546906187625	250.44711826347304	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438058_2	SRR8438058_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80160.0	20.1 Mbp	0.0	191-251	53.0	13.766217564870258	250.48368263473054	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438059	SRR8438059.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	3.7 kbp	0.0	250-251	46.0	100.0	250.26666666666668	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438059_1	SRR8438059_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48034.0	12 Mbp	0.0	243-251	51.0	9.509930465919973	250.0982012740975	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438059_2	SRR8438059_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48034.0	12 Mbp	0.0	193-251	52.0	17.350210267727025	250.4888412374568	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438060	SRR8438060.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6.0	1.5 kbp	0.0	249-251	46.0	100.0	250.66666666666666	251	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail
SRR8438060_1	SRR8438060_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18519.0	4.6 Mbp	0.0	245-251	49.0	16.923159997840056	250.58982666450672	251	pass	fail	warn	fail	fail	pass	warn	fail	fail	fail
SRR8438060_2	SRR8438060_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18519.0	4.6 Mbp	0.0	196-251	53.0	43.70106377234192	250.37601922350018	250	pass	fail	fail	fail	fail	pass	warn	fail	fail	pass
SRR8438061	SRR8438061.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32.0	8 kbp	0.0	249-251	47.0	100.0	250.1875	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438061_1	SRR8438061_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70366.0	17.5 Mbp	0.0	240-251	52.0	8.529687633231958	250.11059318420828	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438061_2	SRR8438061_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70366.0	17.6 Mbp	0.0	189-251	53.0	15.6041269931501	250.48595912798794	250	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438062	SRR8438062.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	1 kbp	0.0	250-251	48.0	100.0	250.25	250	pass	pass	fail	fail	fail	pass	warn	pass	fail	fail
SRR8438062_1	SRR8438062_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36354.0	9 Mbp	0.0	241-251	48.0	12.543323980854925	250.30192000880234	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
SRR8438062_2	SRR8438062_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36354.0	9.1 Mbp	0.0	241-251	51.0	29.408043131429828	250.89098861198218	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438063	SRR8438063.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14.0	3.5 kbp	0.0	249-251	47.0	100.0	250.57142857142858	251	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438063_1	SRR8438063_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77367.0	19.4 Mbp	0.0	243-251	52.0	4.763012653973917	250.75944524151123	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438063_2	SRR8438063_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77367.0	19.4 Mbp	0.0	204-251	54.0	10.129641836958909	250.98934946424185	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438064	SRR8438064.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4.0	1 kbp	0.0	251.0	46.0	100.0	251.0	251	pass	pass	fail	fail	fail	pass	pass	pass	fail	fail
SRR8438064_1	SRR8438064_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56904.0	14.2 Mbp	0.0	238-251	51.0	7.885210178546323	250.50701180936315	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR8438064_2	SRR8438064_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56904.0	14.2 Mbp	0.0	202-251	53.0	19.900182763953325	250.4512160832279	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438065	SRR8438065.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13.0	3.2 kbp	0.0	248-251	47.0	100.0	250.23076923076923	251	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438065_1	SRR8438065_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108404.0	27.1 Mbp	0.0	238-251	52.0	3.536769860890742	250.71288882329065	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438065_2	SRR8438065_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108404.0	27.2 Mbp	0.0	190-251	54.0	10.998671635732999	250.48931773735288	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438066	SRR8438066.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22.0	5.5 kbp	0.0	248-251	47.0	100.0	250.1818181818182	250	pass	pass	pass	fail	fail	pass	warn	pass	fail	fail
SRR8438066_1	SRR8438066_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132788.0	33.2 Mbp	0.0	239-251	54.0	3.334638672169172	250.185378196825	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR8438066_2	SRR8438066_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132788.0	33.3 Mbp	0.0	189-251	56.0	12.541795945416753	250.4832816218333	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
