Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8438042	0.0	47.0	250.14814814814815	250	40.0	2.7e-05
SRR8438042_1	86.82909550137839	52.0	250.11107175309175	250	40.0	0.064931
SRR8438042_2	73.77215813709938	54.0	250.47452680537802	250	50.0	0.064931
SRR8438043	0.0	47.0	251.0	251	30.0	1e-06
SRR8438043_1	90.23686920700308	54.0	250.03171987641608	250	40.0	0.004855
SRR8438043_2	82.94541709577754	55.0	250.99588053553038	251	40.0	0.004855
SRR8438044	0.0	46.0	250.22222222222223	250	40.0	2.7e-05
SRR8438044_1	94.48824547713227	52.0	250.08155064625208	250	40.0	0.11148899999999999
SRR8438044_2	88.15847303321404	53.0	250.48297589896762	250	40.0	0.11148899999999999
SRR8438045	0.0	49.0	251.0	251	30.0	1e-06
SRR8438045_1	89.70392793857059	52.0	250.39456585942114	250	40.0	0.027087999999999997
SRR8438045_2	78.58461311281748	53.0	250.4785883047844	250	50.0	0.027087999999999997
SRR8438046	0.0	50.0	250.5	250	50.0	4e-06
SRR8438046_1	86.57564989713859	51.0	250.5636057602394	251	40.0	0.026735
SRR8438046_2	69.8821769216383	54.0	250.43873199925193	250	50.0	0.026735
SRR8438047	0.0	46.0	250.71428571428572	251	40.0	7e-06
SRR8438047_1	92.13036565977742	51.0	250.06332803391626	250	40.0	0.030192
SRR8438047_2	84.61512983571807	52.0	250.98552596714362	251	40.0	0.030192
SRR8438048	0.0	46.0	250.26666666666668	250	40.0	1.4999999999999999e-05
SRR8438048_1	96.36847576508757	50.0	250.01562732039434	250	40.0	0.08753899999999999
SRR8438048_2	91.518066233336	51.0	250.49415117833195	250	40.0	0.08753899999999999
SRR8438049	0.0	46.0	250.1	250	40.0	1.9999999999999998e-05
SRR8438049_1	93.79889516875818	51.0	250.0873886387585	250	40.0	0.125268
SRR8438049_2	87.2696937765431	52.0	250.4916499026088	250	40.0	0.125268
SRR8438050	0.0	44.0	250.1764705882353	250	40.0	1.7e-05
SRR8438050_1	93.56178608515057	50.0	250.03921772239528	250	40.0	0.02889
SRR8438050_2	90.79612322602976	51.0	250.4797853928695	250	50.0	0.02889
SRR8438051	0.0	46.0	250.23529411764707	250	40.0	1.7e-05
SRR8438051_1	96.27570167556425	53.0	250.00917596067444	250	40.0	0.094595
SRR8438051_2	90.85786775199534	54.0	250.49162746445373	250	40.0	0.094595
SRR8438052	1.0638297872340416	45.0	250.2340425531915	250	40.0	9.4e-05
SRR8438052_1	91.83542744518354	51.0	250.1159117305459	250	40.0	0.142065
SRR8438052_2	81.84633794389892	52.0	250.4764614789005	250	40.0	0.142065
SRR8438053	0.0	45.0	250.25	250	40.0	1.2e-05
SRR8438053_1	90.5510146561443	47.0	250.49496195039458	251	40.0	0.028384
SRR8438053_2	84.97040586245772	48.0	250.46455749718152	250	40.0	0.028384
SRR8438054	0.0	48.0	248.0	248	30.0	1e-06
SRR8438054_1	74.13503527040645	49.0	250.41887806516627	251	60.0	0.002977
SRR8438054_2	59.825327510917035	53.0	250.83439704400402	251	50.0	0.002977
SRR8438055	0.0	46.0	250.36	250	40.0	2.4999999999999998e-05
SRR8438055_1	94.20995101412899	53.0	250.10984980365168	250	40.0	0.12350499999999999
SRR8438055_2	86.83292174405895	54.0	250.49017043844378	250	40.0	0.12350499999999999
SRR8438056	0.0	48.0	249.8	250	40.0	4.9999999999999996e-06
SRR8438056_1	90.76147337834374	51.0	250.09437227587387	250	40.0	0.046804
SRR8438056_2	82.42244252627981	53.0	250.9772028031792	251	40.0	0.046804
SRR8438057	0.0	47.0	250.11764705882354	250	40.0	1.7e-05
SRR8438057_1	93.9887837364178	51.0	250.1118238111929	250	40.0	0.08559
SRR8438057_2	89.1541067881762	52.0	250.48693772636992	250	40.0	0.08559
SRR8438058	0.0	46.0	250.64705882352942	251	40.0	1.7e-05
SRR8438058_1	93.89845309381238	52.0	250.44711826347304	251	40.0	0.08016
SRR8438058_2	86.23378243512974	53.0	250.48368263473054	250	50.0	0.08016
SRR8438059	0.0	46.0	250.26666666666668	250	40.0	1.4999999999999999e-05
SRR8438059_1	90.49006953408002	51.0	250.0982012740975	250	40.0	0.048034
SRR8438059_2	82.64978973227298	52.0	250.4888412374568	250	40.0	0.048034
SRR8438060	0.0	46.0	250.66666666666666	251	50.0	6e-06
SRR8438060_1	83.07684000215994	49.0	250.58982666450672	251	60.0	0.018519
SRR8438060_2	56.29893622765808	53.0	250.37601922350018	250	60.0	0.018519
SRR8438061	0.0	47.0	250.1875	250	40.0	3.2e-05
SRR8438061_1	91.47031236676804	52.0	250.11059318420828	250	40.0	0.070366
SRR8438061_2	84.3958730068499	53.0	250.48595912798794	250	40.0	0.070366
SRR8438062	0.0	48.0	250.25	250	50.0	4e-06
SRR8438062_1	87.45667601914508	48.0	250.30192000880234	250	60.0	0.036354
SRR8438062_2	70.59195686857018	51.0	250.89098861198218	251	50.0	0.036354
SRR8438063	0.0	47.0	250.57142857142858	251	40.0	1.4e-05
SRR8438063_1	95.23698734602608	52.0	250.75944524151123	251	40.0	0.07736699999999999
SRR8438063_2	89.87035816304109	54.0	250.98934946424185	251	50.0	0.07736699999999999
SRR8438064	0.0	46.0	251.0	251	50.0	4e-06
SRR8438064_1	92.11478982145368	51.0	250.50701180936315	251	40.0	0.056903999999999996
SRR8438064_2	80.09981723604668	53.0	250.4512160832279	250	50.0	0.056903999999999996
SRR8438065	0.0	47.0	250.23076923076923	251	40.0	1.3e-05
SRR8438065_1	96.46323013910926	52.0	250.71288882329065	251	40.0	0.108404
SRR8438065_2	89.001328364267	54.0	250.48931773735288	250	50.0	0.108404
SRR8438066	0.0	47.0	250.1818181818182	250	40.0	2.2e-05
SRR8438066_1	96.66536132783082	54.0	250.185378196825	250	40.0	0.132788
SRR8438066_2	87.45820405458325	56.0	250.4832816218333	250	50.0	0.132788
SRR8438067	0.0	48.0	250.6	251	40.0	4.9999999999999996e-06
SRR8438067_1	92.64591075164725	52.0	250.58451737813448	251	40.0	0.032022999999999996
SRR8438067_2	82.57502420135528	53.0	250.48095119133123	250	50.0	0.032022999999999996
SRR8438068_1	84.1160787530763	52.0	250.21923707957342	250	40.0	0.009752
SRR8438068_2	76.91755537325676	54.0	250.94667760459393	251	50.0	0.009752
SRR8438069	0.0	46.0	250.2941176470588	250	40.0	1.7e-05
SRR8438069_1	93.67998788979716	52.0	250.05949137148048	250	40.0	0.026424
SRR8438069_2	90.49349076597034	52.0	250.474795640327	250	40.0	0.026424
SRR8438070	0.0	47.0	250.33333333333334	251	30.0	1.4999999999999999e-05
SRR8438070_1	95.48018590130202	53.0	250.7801587020021	251	40.0	0.084561
