Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,FishID,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR8438042,AMPLICON,500,32541049,PRJNA514914,SAMN10737168,Metagenome or environmental,23340759,NOVA SOUTHEASTERN UNIVERSITY,8/7/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245631,CS60,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Centrophryne spinulosa,Illumina MiSeq,Esca,26.9744 N 88.9683 W,CS60.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CS60.ESCA,SRP178885
SRR8438043,AMPLICON,500,2432740,PRJNA514914,SAMN10737169,Metagenome or environmental,1748739,NOVA SOUTHEASTERN UNIVERSITY,8/8/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245630,ON62.1,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Oneirodidae,Illumina MiSeq,Esca,27.0174 N 87.9766 W,0N62.1.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,0N62.1.ESCA,SRP178885
SRR8438044,AMPLICON,500,55868495,PRJNA514914,SAMN10737166,Metagenome or environmental,37795643,NOVA SOUTHEASTERN UNIVERSITY,8/7/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245629,CC60,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,skin,26.9744 N 88.9683 W,CC60.SKIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC60.SKIN,SRP178885
SRR8438045,AMPLICON,501,13581264,PRJNA514914,SAMN10737167,Metagenome or environmental,9795639,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245628,CC70,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Caruncles,26.9899 N 89.4684 W,CC70.CARUNCLE,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC70.CARUNCLE,SRP178885
SRR8438046,AMPLICON,501,13407845,PRJNA514914,SAMN10737172,Metagenome or environmental,9790600,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245627,CC71.N0,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Caruncles,26.9319 N 89.4316 W,CC71.N0.CARUNCLES,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC71.N0.CARUNCLES,SRP178885
SRR8438047,AMPLICON,500,15129422,PRJNA514914,SAMN10737173,Metagenome or environmental,10378224,NOVA SOUTHEASTERN UNIVERSITY,8/8/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245626,CC62,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,gills,27.0174 N 87.9766 W,CC62.GILLS,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC62.GILLS,SRP178885
SRR8438048,AMPLICON,500,43861437,PRJNA514914,SAMN10737170,Metagenome or environmental,30232606,NOVA SOUTHEASTERN UNIVERSITY,8/8/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245625,CC62,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Esca,27.0174 N 87.9766 W,CC62.ESCA,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC62.ESCA,SRP178885
SRR8438049,AMPLICON,501,62773661,PRJNA514914,SAMN10737171,Metagenome or environmental,43382867,NOVA SOUTHEASTERN UNIVERSITY,8/8/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245624,CC62,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,fin,27.0174 N 87.9766 W,CC62.FIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC62.FIN,SRP178885
SRR8438050,AMPLICON,500,14478511,PRJNA514914,SAMN10737221,Metagenome or environmental,8364586,NOVA SOUTHEASTERN UNIVERSITY,5/1/15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245623,DP02,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Dolopichthys,Illumina MiSeq,Guts,29.0480 N 87.9900 W,DP3,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,DP3,SRP178885
SRR8438051,AMPLICON,500,47396176,PRJNA514914,SAMN10737174,Metagenome or environmental,32053972,NOVA SOUTHEASTERN UNIVERSITY,8/8/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245622,CC62,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Guts,27.0174 N 87.9766 W,CC62.GUT,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC62.GUT,SRP178885
